"en","it","el","bg"
"Competition","Competizione","Ανταγωνισμός","Състезание"
"Cooperation","Cooperazione","Συνεργασία","Сътрудничество"
"Deceit","Inganno","Εξαπάτηση","Измама"
"Defiance","Sfida","Αψήφηση","Неподчинение"
"Empathy","Empatia","Ενσυναίσθηση","Емпатия"
"Help","Aiuto","Βοήθεια","Помощ"
"Innocence","Innocenza","Αθωότητα","Невинност"
"Kindness","Gentilezza","Καλοσύνη","Доброта"
"Obedience","Obbedienza","Υπακοή","Послушание"
"Prudence","Prudenza","Σύνεση","Благоразумие"
"Punishment","Punizione","Τιμωρία","Наказание"
"Reward","Ricompensa","Επιβράβευση","Награда"
"Sincerity","Sincerità","Ειλικρίνεια","Искреност"
"Trust","Fiducia","Εμπιστοσύνη","Доверие"
